link.citation,con.taxonomy,res.taxonomy,foodweb.name,,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Clubiona sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Cicadoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Stethophyma grossum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Philodromus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Jassidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Phlaeothripidae phyto,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Phlaeothripidae pred,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Fulgoroidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Tibellus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Hypostenus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Nestus carbonarius,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Saltatoria,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Chrysopidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Marpissa sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Platystethus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Tetragnatha sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Delphacidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Heteroptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Nemotelus pantherinus,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lesteva sicula,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Agelenidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Ichneumonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Rhopalum sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Vulpes vulpes,Haemopis sanguisuga,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pachygnatha sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Staphylinidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pirata sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Theridion pictum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Limnia paludicola,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Delphacinae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Chartoscirta cincta,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Nabidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Sympetrum vulgatum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Dryops auriculatus,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pachybrachius sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Tetragnatha pinicola,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Leptoceridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pirata tenuitarsis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Conocephalus dorsalis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Larinioides sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Theridion impressum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Mythimna straminea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Enochrus testaceus,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lema melanopus,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Agriotes sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Haematopota sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Salticidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Calliphoridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Sympetrum sanguineum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pherbina coryleti,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Agonum thoreyi,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Carabidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pirata piraticus,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lycosidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Limnobaris dolorosa,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Sepedon spinipes,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Tipula sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Stethophyma grossum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Zygoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Sternorrhyncha,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Tibellus sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Stratiomyidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Conocephalus dorsalis,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Neoscona adianta,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Neoscona adianta,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pardosa prativaga,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum vulgatum,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Libellula depressa,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Libellulidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Aeshna sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Anisoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Agonum viduum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Sympetrum sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Sarcophagidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Clubiona stagnatilis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Marpissa radiata,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Coenagrion sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Deltocephalinae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Pentatomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Conocephalus dorsalis,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Cicadoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Conocephalus dorsalis,Carabidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Falco subbuteo,Somatochlora sp,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Haemopis sanguisuga,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Haemopis sanguisuga,Psychodidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Pisaura mirabilis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Lepidoptera,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum vulgatum,Callitula ferrierei,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Cicadina,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum vulgatum,Ceratopogonidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Sphaerocidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Conocephalus dorsalis,Sternorrhyncha,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Somatochlora sp,Sciaridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Coenagrion sp,Cecidomyiidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Aphidoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellulidae,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Emberiza schoeniclus,Sympetrum vulgatum,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sanguineum,Chironomidae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Cicadoidea,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum sp,Sciaridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Empididae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Saltatoria,Ephydridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Aeshna sp,Sciaridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Anisoptera,Sciaridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Sympetrum vulgatum,Swammerdamella brevicornis,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
Cattin Blandenier (2004),Libellula depressa,Sciaridae,"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",,,,,,
