"Unknown_green_algae_filaments" "Amelotopsis_perscitus"
"Gomphoneis_herculeana" "Corynoneura"
"Corynoneura" "Meridion_circulare"
"Corynoneura" "Nitzschia_sp._(small)"
"Pinnularia_mesoleptus" "Corynoneura"
"Rhoicosphenia_curvata" "Corynoneura"
"Tabellaria_flocculosa" "Corynoneura"
"Naonella" "Unidentifiable_detritus"
"Naonella" "Acnanthidium_linearis"
"Naonella" "Blue_green_algae_spp."
"Naonella" "Cocconeis_sp."
"Naonella" "Cymbella_minuta"
"Naonella" "Diatoma_heimale"
"Naonella" "Eunotia_spp."
"Naonella" "Fragilaria_vaucheriae"
"Naonella" "Gomphoneis_herculeana"
"Naonella" "Gomphonema_subclavatum"
"Naonella" "Melosira_varians"
"Naonella" "Synedra_ulna"
"Naonella" "Tabellaria_flocculosa"
"Unidentifiable_detritus" "Maoridiamesea"
"Acnanthidium_linearis" "Maoridiamesea"
"Blue_green_algae_spp." "Maoridiamesea"
"Cocconeis_sp." "Maoridiamesea"
"Cymbella_minuta" "Maoridiamesea"
"Diatoma_heimale" "Maoridiamesea"
"Eunotia_spp." "Maoridiamesea"
"Fragilaria_vaucheriae" "Maoridiamesea"
"Gomphoneis_herculeana" "Maoridiamesea"
"Gomphonema_subclavatum" "Maoridiamesea"
"Melosira_varians" "Maoridiamesea"
"Synedra_ulna" "Maoridiamesea"
"Tabellaria_flocculosa" "Maoridiamesea"
"Eukiefiriella" "Unidentifiable_detritus"
"Eukiefiriella" "Acnanthidium_linearis"
"Eukiefiriella" "Acnanthidium_minutissima"
"Eukiefiriella" "Cocconeis_sp."
"Eukiefiriella" "Cymbella_minuta"
"Eukiefiriella" "Diatoma_heimale"
"Eukiefiriella" "Epithemia_sorex"
"Eukiefiriella" "Fragilaria_spp."
"Eukiefiriella" "Gomphoneis_herculeana"
"Eukiefiriella" "Gomphonema_angustatum"
"Eukiefiriella" "Gomphonema_subclavatum"
"Eukiefiriella" "Meridion_circulare"
"Eukiefiriella" "Navicula_avenacea"
"Eukiefiriella" "Navicula_cryptocephala"
"Eukiefiriella" "Rhoicosphenia_curvata"
"Eukiefiriella" "Synedra_ulna"
"Unidentifiable_detritus" "Tanytarsini_II"
"Acnanthidium_linearis" "Tanytarsini_II"
"Acnanthidium_minutissima" "Tanytarsini_II"
"Cocconeis_sp." "Tanytarsini_II"
"Cymbella_minuta" "Tanytarsini_II"
"Diatoma_heimale" "Tanytarsini_II"
"Fragilaria_spp." "Tanytarsini_II"
"Fragilaria_vaucheriae" "Tanytarsini_II"
"Gomphonema_subclavatum" "Tanytarsini_II"
"Melosira_varians" "Tanytarsini_II"
"Nitzschia_sp._(small)" "Tanytarsini_II"
"Rhoicosphenia_curvata" "Tanytarsini_II"
"Synedra_ulna" "Tanytarsini_II"
"Pirara" "Unidentifiable_detritus"
"Pirara" "Plant_(macrophyte)_cells"
"Pirara" "Acnanthidium_linearis"
"Pirara" "Cocconeis_sp."
"Pirara" "Diatoma_heimale"
"Pirara" "Fragilaria_vaucheriae"
"Pirara" "Gomphoneis_herculeana"
"Pirara" "Navicula_avenacea"
"Pirara" "Rhoicosphenia_curvata"
"Pirara" "Synedra_ulna"
"Pirara" "Tabellaria_flocculosa"
"Cricotopus_II" "Unidentifiable_detritus"
"Cricotopus_II" "Acnanthidium_lanceolata"
"Cricotopus_II" "Cymbella_minuta"
"Cricotopus_II" "Fragilaria_spp."
"Cricotopus_II" "Gomphoneis_herculeana"
"Cricotopus_II" "Rhoicosphenia_curvata"
"Cricotopus_II" "Synedra_rumpens"
"Unidentifiable_detritus" "Stictocladius"
"Acnanthidium_linearis" "Stictocladius"
"Cymbella_minuta" "Stictocladius"
"Diatoma_heimale" "Stictocladius"
"Fragilaria_vaucheriae" "Stictocladius"
"Stictocladius" "Frustulia_rhomboides"
"Gomphoneis_herculeana" "Stictocladius"
"Gomphonema_berggreni" "Stictocladius"
"Rhoicosphenia_curvata" "Stictocladius"
"Rhopalodia_novae_zelandicae" "Stictocladius"
"Polypedellum" "Unidentifiable_detritus"
"Polypedellum" "Acnanthidium_linearis"
"Polypedellum" "Cymbella_minuta"
"Polypedellum" "Diatoma_heimale"
"Polypedellum" "Fragilaria_vaucheriae"
"Polypedellum" "Frustulia_rhomboides"
"Polypedellum" "Gomphoneis_herculeana"
"Polypedellum" "Gomphonema_berggreni"
"Polypedellum" "Rhoicosphenia_curvata"
"Polypedellum" "Rhopalodia_novae_zelandicae"
"Unidentifiable_detritus" "Cricotopus_I"
"Acnanthidium_linearis" "Cricotopus_I"
"Acnanthidium_minutissima" "Cricotopus_I"
"Cocconeis_sp." "Cricotopus_I"
"Cymbella_minuta" "Cricotopus_I"
"Diatoma_heimale" "Cricotopus_I"
"Epithemia_sorex" "Cricotopus_I"
"Fragilaria_spp." "Cricotopus_I"
"Gomphoneis_herculeana" "Cricotopus_I"
"Gomphonema_angustatum" "Cricotopus_I"
"Gomphonema_subclavatum" "Cricotopus_I"
"Meridion_circulare" "Cricotopus_I"
"Navicula_avenacea" "Cricotopus_I"
"Navicula_cryptocephala" "Cricotopus_I"
"Rhoicosphenia_curvata" "Cricotopus_I"
"Synedra_ulna" "Cricotopus_I"
"Terrestial_invertebrates" "Tanypodini"
"Naonella" "Tanypodini"
"Cricotopus_II" "Tanypodini"
"Polypedellum" "Tanypodini"
"Tanypodini" "Tanytarsini"
"Pycnocentrodes_spp." "Tanypodini"
"Unidentifiable_detritus" "Tanytarsini"
"Acnanthidium_linearis" "Tanytarsini"
"Acnanthidium_minutissima" "Tanytarsini"
"Cocconeis_sp." "Tanytarsini"
"Cymbella_minuta" "Tanytarsini"
"Diatoma_heimale" "Tanytarsini"
"Fragilaria_spp." "Tanytarsini"
"Fragilaria_vaucheriae" "Tanytarsini"
"Gomphonema_subclavatum" "Tanytarsini"
"Melosira_varians" "Tanytarsini"
"Nitzschia_sp._(small)" "Tanytarsini"
"Rhoicosphenia_curvata" "Tanytarsini"
"Synedra_ulna" "Tanytarsini"
"Unidentifiable_detritus" "Coloburiscus_humeralis"
"Plant_(macrophyte)_cells" "Coloburiscus_humeralis"
"Acnanthidium_lanceolata" "Coloburiscus_humeralis"
"Acnanthidium_linearis" "Coloburiscus_humeralis"
"Blue_green_algae_spp." "Coloburiscus_humeralis"
"Cocconeis_sp." "Coloburiscus_humeralis"
"Cyclotella_sp." "Coloburiscus_humeralis"
"Epithemia_sorex" "Coloburiscus_humeralis"
"Eunotia_spp." "Coloburiscus_humeralis"
"Gomphonema_sp." "Coloburiscus_humeralis"
"Gomphonema_subclavatum" "Coloburiscus_humeralis"
"Navicula_avenacea" "Coloburiscus_humeralis"
"Coloburiscus_humeralis" "Navicula_rhynchocephala"
"Nitzschia_sp._(large)" "Coloburiscus_humeralis"
"Nitzschia_sp._(small)" "Coloburiscus_humeralis"
"Pinnularia_sp._(large)" "Coloburiscus_humeralis"
"Rhopalodia_novae_zelandicae" "Coloburiscus_humeralis"
"Surirella_sp." "Coloburiscus_humeralis"
"Tabellaria_flocculosa" "Coloburiscus_humeralis"
"Terrestial_invertebrates" "Costachorema_xanthoptera"
"Aoteapsyche_spp." "Costachorema_xanthoptera"
"Baraeoptera_roria" "Costachorema_xanthoptera"
"Naonella" "Costachorema_xanthoptera"
"Costachorema_xanthoptera" "Maoridiamesea"
"Eukiefiriella" "Costachorema_xanthoptera"
"Pirara" "Costachorema_xanthoptera"
"Deleatidium_spp." "Costachorema_xanthoptera"
"Hydrobiosella_stenocerca" "Costachorema_xanthoptera"
"Costachorema_xanthoptera" "Pycnocentrodes_spp."
"Costachorema_xanthoptera" "Tiphobiosis_sp."
"Deleatidium_spp." "Unidentifiable_detritus"
"Deleatidium_spp." "Plant_(macrophyte)_cells"
"Deleatidium_spp." "Acnanthidium_lanceolata"
"Deleatidium_spp." "Acnanthidium_linearis"
"Deleatidium_spp." "Acnanthidium_minutissima"
"Deleatidium_spp." "Acnanthidium_saxonica"
"Deleatidium_spp." "Blue_green_algae_spp."
"Deleatidium_spp." "Cocconeis_sp."
"Deleatidium_spp." "Cyclotella_sp."
"Deleatidium_spp." "Cymbella_kappii"
"Deleatidium_spp." "Cymbella_minuta"
"Deleatidium_spp." "Diatoma_heimale"
"Deleatidium_spp." "Epithemia_sorex"
"Deleatidium_spp." "Eunotia_spp."
"Deleatidium_spp." "Fragilaria_spp."
"Deleatidium_spp." "Fragilaria_vaucheriae"
"Deleatidium_spp." "Gomphoneis_herculeana"
"Deleatidium_spp." "Gomphonema_angustatum"
"Deleatidium_spp." "Gomphonema_berggreni"
"Deleatidium_spp." "Gomphonema_subclavatum"
"Deleatidium_spp." "Melosira_italica/distans"
"Deleatidium_spp." "Navicula_avenacea"
"Deleatidium_spp." "Navicula_rhynchocephala"
"Deleatidium_spp." "Nitzschia_sp._(small)"
"Deleatidium_spp." "Pinnularia_mesoleptus"
"Deleatidium_spp." "Rhoicosphenia_curvata"
"Deleatidium_spp." "Synedra_rumpens"
"Deleatidium_spp." "Synedra_ulna"
"Deleatidium_spp." "Tabellaria_flocculosa"
"Unidentifiable_detritus" "Eriopterini_sp."
"Plant_(macrophyte)_cells" "Eriopterini_sp."
"Acnanthidium_lanceolata" "Eriopterini_sp."
"Cocconeis_sp." "Eriopterini_sp."
"Cyclotella_sp." "Eriopterini_sp."
"Cymbella_minuta" "Eriopterini_sp."
"Epithemia_sorex" "Eriopterini_sp."
"Epithemia_zebra" "Eriopterini_sp."
"Fragilaria_spp." "Eriopterini_sp."
"Fragilaria_vaucheriae" "Eriopterini_sp."
"Gomphoneis_herculeana" "Eriopterini_sp."
"Gomphonema_parvulum" "Eriopterini_sp."
"Melosira_italica/distans" "Eriopterini_sp."
"Meridion_circulare" "Eriopterini_sp."
"Navicula_avenacea" "Eriopterini_sp."
"Nitzschia_sp._(large)" "Eriopterini_sp."
"Pinnularia_sp._(large)" "Eriopterini_sp."
"Rhoicosphenia_curvata" "Eriopterini_sp."
"Rhopalodia_novae_zelandicae" "Eriopterini_sp."
"Synedra_ulna" "Eriopterini_sp."
"Tabellaria_flocculosa" "Eriopterini_sp."
"Unidentifiable_detritus" "Helicopsyche_albescens"
"Plant_(macrophyte)_cells" "Helicopsyche_albescens"
"Acnanthidium_linearis" "Helicopsyche_albescens"
"Cocconeis_sp." "Helicopsyche_albescens"
"Cyclotella_sp." "Helicopsyche_albescens"
"Cymbella_kappii" "Helicopsyche_albescens"
"Cymbella_minuta" "Helicopsyche_albescens"
"Diatoma_heimale" "Helicopsyche_albescens"
"Epithemia_sorex" "Helicopsyche_albescens"
"Epithemia_zebra" "Helicopsyche_albescens"
"Eunotia_spp." "Helicopsyche_albescens"
"Fragilaria_spp." "Helicopsyche_albescens"
"Gomphoneis_herculeana" "Helicopsyche_albescens"
"Gomphonema_subclavatum" "Helicopsyche_albescens"
"Melosira_italica/distans" "Helicopsyche_albescens"
"Melosira_varians" "Helicopsyche_albescens"
"Navicula_avenacea" "Helicopsyche_albescens"
"Navicula_cryptocephala" "Helicopsyche_albescens"
"Nitzschia_sp._(large)" "Helicopsyche_albescens"
"Pinnularia_mesoleptus" "Helicopsyche_albescens"
"Pinnularia_sp._(large)" "Helicopsyche_albescens"
"Rhoicosphenia_curvata" "Helicopsyche_albescens"
"Rhopalodia_novae_zelandicae" "Helicopsyche_albescens"
"Surirella_sp." "Helicopsyche_albescens"
"Synedra_ulna" "Helicopsyche_albescens"
"Tabellaria_flocculosa" "Helicopsyche_albescens"
"Unidentifiable_detritus" "Hudsonema_amibilis"
"Plant_(macrophyte)_cells" "Hudsonema_amibilis"
"Acnanthidium_linearis" "Hudsonema_amibilis"
"Cocconeis_sp." "Hudsonema_amibilis"
"Cyclotella_sp." "Hudsonema_amibilis"
"Hudsonema_amibilis" "Cymbella_kappii"
"Cymbella_minuta" "Hudsonema_amibilis"
"Diatoma_heimale" "Hudsonema_amibilis"
"Epithemia_sorex" "Hudsonema_amibilis"
"Epithemia_zebra" "Hudsonema_amibilis"
"Eunotia_spp." "Hudsonema_amibilis"
"Fragilaria_spp." "Hudsonema_amibilis"
"Gomphoneis_herculeana" "Hudsonema_amibilis"
"Gomphonema_subclavatum" "Hudsonema_amibilis"
"Melosira_italica/distans" "Hudsonema_amibilis"
"Melosira_varians" "Hudsonema_amibilis"
"Navicula_avenacea" "Hudsonema_amibilis"
"Navicula_cryptocephala" "Hudsonema_amibilis"
"Nitzschia_sp._(large)" "Hudsonema_amibilis"
"Pinnularia_mesoleptus" "Hudsonema_amibilis"
"Pinnularia_sp._(large)" "Hudsonema_amibilis"
"Rhoicosphenia_curvata" "Hudsonema_amibilis"
"Hudsonema_amibilis" "Rhopalodia_novae_zelandicae"
"Surirella_sp." "Hudsonema_amibilis"
"Synedra_ulna" "Hudsonema_amibilis"
"Tabellaria_flocculosa" "Hudsonema_amibilis"
"Unidentifiable_detritus" "Hydora_nitida_(adult)"
"Plant_(macrophyte)_cells" "Hydora_nitida_(adult)"
"Acnanthidium_lanceolata" "Hydora_nitida_(adult)"
"Acnanthidium_linearis" "Hydora_nitida_(adult)"
"Hydora_nitida_(adult)" "Acnanthidium_minutissima"
"Cocconeis_sp." "Hydora_nitida_(adult)"
"Cyclotella_sp." "Hydora_nitida_(adult)"
"Cymbella_minuta" "Hydora_nitida_(adult)"
"Diatoma_heimale" "Hydora_nitida_(adult)"
"Fragilaria_spp." "Hydora_nitida_(adult)"
"Gomphoneis_herculeana" "Hydora_nitida_(adult)"
"Gomphonema_sp." "Hydora_nitida_(adult)"
"Melosira_varians" "Hydora_nitida_(adult)"
"Navicula_cryptocephala" "Hydora_nitida_(adult)"
"Rhoicosphenia_curvata" "Hydora_nitida_(adult)"
"Tabellaria_flocculosa" "Hydora_nitida_(adult)"
"Unidentifiable_detritus" "Hydora_nitida_(larva)"
"Plant_(macrophyte)_cells" "Hydora_nitida_(larva)"
"Acnanthidium_lanceolata" "Hydora_nitida_(larva)"
"Acnanthidium_linearis" "Hydora_nitida_(larva)"
"Hydora_nitida_(larva)" "Audouinella_sp."
"Cocconeis_sp." "Hydora_nitida_(larva)"
"Cyclotella_sp." "Hydora_nitida_(larva)"
"Cymbella_aspera" "Hydora_nitida_(larva)"
"Cymbella_kappii" "Hydora_nitida_(larva)"
"Cymbella_minuta" "Hydora_nitida_(larva)"
"Diatoma_heimale" "Hydora_nitida_(larva)"
"Epithemia_sorex" "Hydora_nitida_(larva)"
"Epithemia_zebra" "Hydora_nitida_(larva)"
"Eunotia_spp." "Hydora_nitida_(larva)"
"Fragilaria_spp." "Hydora_nitida_(larva)"
"Frustulia_rhomboides" "Hydora_nitida_(larva)"
"Gomphoneis_herculeana" "Hydora_nitida_(larva)"
"Gomphonema_angustatum" "Hydora_nitida_(larva)"
"Gomphonema_subclavatum" "Hydora_nitida_(larva)"
"Melosira_italica/distans" "Hydora_nitida_(larva)"
"Melosira_varians" "Hydora_nitida_(larva)"
"Meridion_circulare" "Hydora_nitida_(larva)"
"Navicula_avenacea" "Hydora_nitida_(larva)"
"Navicula_cryptocephala" "Hydora_nitida_(larva)"
"Navicula_rhynchocephala" "Hydora_nitida_(larva)"
"Nitzschia_sp._(large)" "Hydora_nitida_(larva)"
"Nitzschia_sp._(small)" "Hydora_nitida_(larva)"
"Pinnularia_sp._(large)" "Hydora_nitida_(larva)"
"Rhoicosphenia_curvata" "Hydora_nitida_(larva)"
"Rhopalodia_novae_zelandicae" "Hydora_nitida_(larva)"
"Surirella_sp." "Hydora_nitida_(larva)"
"Synedra_ulna" "Hydora_nitida_(larva)"
"Tabellaria_flocculosa" "Hydora_nitida_(larva)"
"Eukiefiriella" "Hydora_nitida_(larva)"
"Pirara" "Hydora_nitida_(larva)"
"Cricotopus_II" "Hydora_nitida_(larva)"
"Deleatidium_spp." "Hydora_nitida_(larva)"
"Hydrobiosella_stenocerca" "Unidentifiable_detritus"
"Hydrobiosella_stenocerca" "Acnanthidium_lanceolata"
"Hydrobiosella_stenocerca" "Acnanthidium_linearis"
"Hydrobiosella_stenocerca" "Acnanthidium_saxonica"
"Hydrobiosella_stenocerca" "Cocconeis_sp."
"Hydrobiosella_stenocerca" "Cymbella_minuta"
"Hydrobiosella_stenocerca" "Diatoma_heimale"
"Hydrobiosella_stenocerca" "Epithemia_sorex"
"Hydrobiosella_stenocerca" "Eunotia_spp."
"Hydrobiosella_stenocerca" "Fragilaria_spp."
"Hydrobiosella_stenocerca" "Frustulia_rhomboides"
"Hydrobiosella_stenocerca" "Gomphoneis_herculeana"
"Hydrobiosella_stenocerca" "Gomphonema_angustatum"
"Hydrobiosella_stenocerca" "Gomphonema_parvulum"
"Hydrobiosella_stenocerca" "Gomphonema_subclavatum"
"Hydrobiosella_stenocerca" "Navicula_cryptocephala"
"Hydrobiosella_stenocerca" "Navicula_rhynchocephala"
"Hydrobiosella_stenocerca" "Nitzschia_sp._(large)"
"Hydrobiosella_stenocerca" "Nitzschia_sp._(small)"
"Hydrobiosella_stenocerca" "Pinnularia_mesoleptus"
"Hydrobiosella_stenocerca" "Rhoicosphenia_curvata"
"Hydrobiosella_stenocerca" "Synedra_ulna"
"Hydrobiosella_stenocerca" "Tabellaria_flocculosa"
"Terrestial_invertebrates" "Hydrobiosis_parumbripennis"
"Hydrobiosis_parumbripennis" "Nesameletus_ornatus"
"Naonella" "Hydrobiosis_spathulata/charadera"
"Naonella" "Hydrobiosis_type_'Black_Pronotum'"
"Terrestial_invertebrates" "Megaleptoperla_sp."
"Aoteapsyche_spp." "Megaleptoperla_sp."
"Naonella" "Megaleptoperla_sp."
"Eukiefiriella" "Megaleptoperla_sp."
"Costachorema_xanthoptera" "Megaleptoperla_sp."
"Nesameletus_ornatus" "Megaleptoperla_sp."
"Oniscigaster_sp." "Megaleptoperla_sp."
"Unidentifiable_detritus" "Nesameletus_ornatus"
"Plant_(macrophyte)_cells" "Nesameletus_ornatus"
"Acnanthidium_lanceolata" "Nesameletus_ornatus"
"Acnanthidium_linearis" "Nesameletus_ornatus"
"Cocconeis_sp." "Nesameletus_ornatus"
"Cyclotella_sp." "Nesameletus_ornatus"
"Cymbella_aspera" "Nesameletus_ornatus"
"Cymbella_kappii" "Nesameletus_ornatus"
"Cymbella_minuta" "Nesameletus_ornatus"
"Diatoma_heimale" "Nesameletus_ornatus"
"Epithemia_sorex" "Nesameletus_ornatus"
"Fragilaria_spp." "Nesameletus_ornatus"
"Fragilaria_vaucheriae" "Nesameletus_ornatus"
"Gomphoneis_herculeana" "Nesameletus_ornatus"
"Gomphonema_parvulum" "Nesameletus_ornatus"
"Gomphonema_subclavatum" "Nesameletus_ornatus"
"Melosira_italica/distans" "Nesameletus_ornatus"
"Meridion_circulare" "Nesameletus_ornatus"
"Navicula_avenacea" "Nesameletus_ornatus"
"Navicula_cryptocephala" "Nesameletus_ornatus"
"Navicula_rhynchocephala" "Nesameletus_ornatus"
"Nitzschia_sp._(large)" "Nesameletus_ornatus"
"Rhopalodia_novae_zelandicae" "Nesameletus_ornatus"
"Surirella_sp." "Nesameletus_ornatus"
"Synedra_ulna" "Nesameletus_ornatus"
"Tabellaria_flocculosa" "Nesameletus_ornatus"
"Helicopsyche_albescens" "Nesameletus_ornatus"
"Unidentifiable_detritus" "Oligochaeta_type_I"
"Acnanthidium_lanceolata" "Oligochaeta_type_I"
"Acnanthidium_linearis" "Oligochaeta_type_I"
"Cocconeis_sp." "Oligochaeta_type_I"
"Cyclotella_sp." "Oligochaeta_type_I"
"Cymbella_minuta" "Oligochaeta_type_I"
"Diatoma_heimale" "Oligochaeta_type_I"
"Fragilaria_spp." "Oligochaeta_type_I"
"Gomphoneis_herculeana" "Oligochaeta_type_I"
"Gomphonema_sp." "Oligochaeta_type_I"
"Gomphonema_subclavatum" "Oligochaeta_type_I"
"Melosira_italica/distans" "Oligochaeta_type_I"
"Melosira_varians" "Oligochaeta_type_I"
"Nitzschia_sp._(large)" "Oligochaeta_type_I"
"Surirella_sp." "Oligochaeta_type_I"
"Synedra_ulna" "Oligochaeta_type_I"
"Unidentifiable_detritus" "Oligochaeta_type_II"
"Plant_(macrophyte)_cells" "Oligochaeta_type_II"
"Acnanthidium_lanceolata" "Oligochaeta_type_II"
"Acnanthidium_linearis" "Oligochaeta_type_II"
"Cocconeis_sp." "Oligochaeta_type_II"
"Cyclotella_sp." "Oligochaeta_type_II"
"Cymbella_aspera" "Oligochaeta_type_II"
"Cymbella_minuta" "Oligochaeta_type_II"
"Diatoma_heimale" "Oligochaeta_type_II"
"Epithemia_sorex" "Oligochaeta_type_II"
